"Story","Title","Result","Date","Stability","Duration (s)"
"Access boundary test","Back to Access Boundary page when Creating new Access Boundary Test","SUCCESS","2016-04-29T21:51:53.885+03:00","0.0","64.75"
"Campaign test","Back to Campaign page when Creating new Campaign Test","SUCCESS","2016-04-29T21:59:02.120+03:00","0.0","56.95"
"Fee test","Back to Fee page when Creating new Fee Test","SUCCESS","2016-04-29T22:15:35.818+03:00","0.0","59.93"
"Create new asset product test","Back to Products page when Creating new Product Test","SUCCESS","2016-04-29T22:05:37.405+03:00","0.0","74.63"
"Create new asset test","Back to calibrator page when Creating new Asset Test","SUCCESS","2016-04-29T22:08:01.436+03:00","0.0","58.73"
"Fee test","Cancel when Creating new Fee Test","SUCCESS","2016-04-29T22:17:57.097+03:00","0.0","59.27"
"Create new asset product test","Create new Asset Product Test","SUCCESS","2016-04-29T22:06:53.170+03:00","0.0","66.68"
"Fee test","Create two Fees with same currency Test","SUCCESS","2016-04-29T22:16:36.874+03:00","0.0","79.06"
"Create new asset test","Delete Assets Test","SUCCESS","2016-04-29T22:13:25.311+03:00","0.0","65.35"
"Create new asset test","Edit Existing Assets Configuration Test","SUCCESS","2016-04-29T22:12:15.534+03:00","0.0","68.65"
"Create new asset test","Edit Existing Assets Status Test","SUCCESS","2016-04-29T22:09:39.246+03:00","0.0","92.91"
"Create new asset product test","Edit Existing Product Configuration Test","SUCCESS","2016-04-29T22:04:15.706+03:00","0.0","80.58"
