"Story","Title","Result","Date","Stability","Duration (s)"
"Campaign products test","Add Campaign Product 1","ERROR","2016-04-29T21:57:02.193+03:00","0.0","118.44"
"Access boundary test","Back to Access Boundary page when Creating new Access Boundary Test","SUCCESS","2016-04-29T21:51:53.885+03:00","0.0","64.75"
"Campaign test","Back to Campaign page when Creating new Campaign Test","SUCCESS","2016-04-29T21:59:02.120+03:00","0.0","56.95"
"Fee test","Back to Fee page when Creating new Fee Test","SUCCESS","2016-04-29T22:15:35.818+03:00","0.0","59.93"
"Create new asset product test","Back to Products page when Creating new Product Test","SUCCESS","2016-04-29T22:05:37.405+03:00","0.0","74.63"
"Create new asset test","Back to calibrator page when Creating new Asset Test","SUCCESS","2016-04-29T22:08:01.436+03:00","0.0","58.73"
"Create new asset test","Cancel Create new Asset Test","FAILURE","2016-04-29T22:09:01.331+03:00","0.0","36.75"
"Campaign test","Cancel when Creating new Campaign Test","FAILURE","2016-04-29T22:02:10.201+03:00","0.0","68.0"
"Fee test","Cancel when Creating new Fee Test","SUCCESS","2016-04-29T22:17:57.097+03:00","0.0","59.27"
"Access boundary test","Create new Access Boundary Configuration Test","ERROR","2016-04-29T21:52:59.826+03:00","0.0","82.47"
"Create new asset product test","Create new Asset Product Test","SUCCESS","2016-04-29T22:06:53.170+03:00","0.0","66.68"
"Create new asset test","Create new Asset Test","FAILURE","2016-04-29T22:11:13.264+03:00","0.0","61.15"
"Campaign test","Create new Campaign Test","ERROR","2016-04-29T22:00:00.196+03:00","0.0","55.24"
"Fee test","Create new Fee Test","ERROR","2016-04-29T22:20:09.756+03:00","0.0","92.92"
"Fee test","Create two Fees with same currency Test","SUCCESS","2016-04-29T22:16:36.874+03:00","0.0","79.06"
"Access boundary test","Delete Access Boundary Test","ERROR","2016-04-29T21:55:39.341+03:00","0.0","78.98"
"Create new asset test","Delete Assets Test","SUCCESS","2016-04-29T22:13:25.311+03:00","0.0","65.35"
"Campaign test","Delete Campaign Test","ERROR","2016-04-29T22:00:56.586+03:00","0.0","72.51"
"Create new asset test","Edit Existing Assets Configuration Test","SUCCESS","2016-04-29T22:12:15.534+03:00","0.0","68.65"
"Create new asset test","Edit Existing Assets Status Test","SUCCESS","2016-04-29T22:09:39.246+03:00","0.0","92.91"
"Access boundary test","Edit Existing Campaign Test","ERROR","2016-04-29T21:54:23.422+03:00","0.0","74.81"
"Campaign test","Edit Existing Campaign Test","ERROR","2016-04-29T22:03:19.315+03:00","0.0","54.73"
"Fee test","Edit Existing Fee Configuration Test","ERROR","2016-04-29T22:18:57.620+03:00","0.0","71.02"
"Create new asset product test","Edit Existing Product Configuration Test","SUCCESS","2016-04-29T22:04:15.706+03:00","0.0","80.58"
"Fee test","Edit Fees currency to match  other Fees currency Test","FAILURE","2016-04-29T22:14:32.299+03:00","0.0","62.4"
